input0:int,input1:int,input2:int,output:int
-100,-100,-100,-242
-10,-10,-10,-62
-1,-1,-1,-86
0,0,0,-42
1,1,1,-82
2,2,2,-38
3,3,3,-78
4,4,4,-34
5,5,5,-74
6,6,6,-18
7,7,7,-52
8,8,8,-14
9,9,9,-48
10,10,10,-10
11,11,11,-44
100,100,100,170
-22,-28,47,-74
-61,-33,-42,-206
23,19,-15,-38
-90,-77,70,-246
-53,-61,-1,-190
-89,-39,63,-244
-98,5,85,-262
-58,-67,-22,-200
59,60,72,88
-62,31,52,-190
42,50,-88,42
53,44,-73,64
-23,-62,-95,-88
45,-44,-25,48
100,-39,39,134
-30,-84,-44,-102
-68,81,-35,-220
-48,87,-50,-180
48,65,-69,12
28,-19,26,-10
-7,-4,-78,-56
34,65,-76,-16
-92,-94,42,-214
84,-77,-80,84
-56,-1,76,-178
-20,43,42,-106
-1,88,99,-32
-1,39,77,-68
77,-57,-14,70
83,-15,17,100
-81,30,78,-192
51,-2,-94,60
12,-35,35,-42
-66,-72,-43,-174
6,42,-78,-30
40,10,-89,38
30,23,-96,-24
9,-73,-92,-66
48,63,96,30
86,74,-48,130
-83,-53,-5,-250
71,7,26,76
-65,72,81,-160
94,-42,44,158
-100,25,-15,-284
60,-38,-97,78
-16,85,-33,-116
21,95,-14,-42
-79,-39,-26,-242
-13,-41,90,-92
41,38,65,52
65,-58,32,100
-12,-32,97,-54
-86,-60,2,-214
24,-48,34,18
-19,85,-52,-122
34,-69,-71,-16
74,-63,-37,64
-82,-96,36,-194
16,76,-74,-10
64,-41,42,62
38,-39,7,10
-52,45,62,-170
11,43,2,-62
43,43,-22,2
-96,-26,-54,-234
48,-7,-5,12
97,14,8,164
70,3,-58,56
50,44,-88,58
1,54,11,-28
-61,78,-23,-164
12,31,-71,-60
-92,-85,53,-250
46,34,74,62
-40,99,83,-146
-56,22,-91,-154
89,-62,51,148
-14,-76,-98,-70
95,-59,60,124
71,-67,-45,58
-54,14,-35,-150
82,62,-72,122
51,51,-40,18
30,88,53,30
75,-83,38,84
71,75,10,76
5,92,-37,-32
-100,99,-33,-284
54,-76,44,78
-89,91,-61,-262
4,-68,-44,-34
40,51,33,14
-47,81,49,-160
31,-57,38,-4
-28,42,-77,-98
-83,74,25,-196
37,68,-48,32
-33,-46,-67,-108
7,20,-84,-28
-95,-70,99,-220
48,-55,-21,12
69,44,-50,96
20,-39,-2,-44
-95,-48,-59,-232
-33,-54,-75,-108
53,37,16,40
38,26,16,46
43,94,-10,44
98,61,76,130
75,-11,-44,66
66,36,-85,90
-54,9,-1,-192
-100,67,25,-266
84,-20,-91,126
56,37,-2,28
-82,84,29,-194
79,69,12,92
44,43,-43,4
-1,87,-48,-86
32,-47,43,-2
-73,-29,85,-212
94,69,75,122
-12,-90,-80,-66
-47,-17,-20,-178
71,38,50,112
-68,46,-25,-178
-73,83,40,-212
50,16,-73,58
84,-52,-52,126
-93,17,-76,-270
-56,100,74,-142
24,-46,-59,6
-51,-26,56,-132
-31,-87,44,-128
-70,-88,-47,-182
10,-33,96,-46
46,96,33,62
-80,57,64,-226
-7,91,56,-80
38,33,-12,-8
-97,-82,37,-224
23,16,13,16
64,-15,86,62
-99,-32,-89,-240
-74,-70,30,-178
28,-17,71,-10
-18,-96,18,-66
-58,61,45,-182
-80,-77,39,-226
84,60,-100,126
81,-78,100,132
-18,-18,43,-66
27,68,28,24
67,23,-64,50
96,-11,90,126
95,34,-53,148
-82,39,-64,-248
8,46,-58,-26
-93,-96,-67,-228
30,63,-96,-24
55,58,-30,68
-76,-5,-36,-236
24,6,28,18
-61,23,14,-188
75,-57,-42,66
99,-40,-10,156
88,-19,-100,92
-3,41,69,-72
-15,47,-14,-114
-25,-31,27,-116
-18,80,-90,-78
51,71,5,18
-86,70,-97,-214
86,-70,35,142
-39,87,43,-144
-93,-51,-63,-270
39,-51,34,12
-55,-81,-24,-194
-18,-32,-3,-78
-41,-15,-42,-166
90,20,-49,138
-33,-58,-10,-108
-31,100,-36,-104
