input0:int,input1:int,input2:int,output:int
-100,-100,-100,680
-10,-10,-10,36
-4,-4,-4,4
-3,-3,-3,2
-2,-2,-2,8
-1,-1,-1,4
0,0,0,-20
1,1,1,-24
2,2,2,-28
3,3,3,-42
4,4,4,-64
5,5,5,-44
6,6,6,-48
7,7,7,-52
8,8,8,-116
9,9,9,-148
10,10,10,-116
11,11,11,-120
100,100,100,-720
59,-35,89,316
-9,76,89,-372
66,35,-93,-630
19,98,-37,-4368
66,-87,-60,412
-72,-5,20,352
-37,-3,39,508
-74,46,-37,-1974
-97,87,-45,-172
4,-29,-54,84
96,-1,-60,-1036
95,-82,-65,208
58,58,13,-452
-68,-67,-100,352
-99,-47,98,734
-45,-58,-58,382
-26,-20,-50,192
38,73,60,-992
-48,-54,76,1192
-50,-2,-24,24
-95,-8,6,502
-58,-63,-33,442
-84,-16,-23,222
54,50,-100,-4800
52,73,81,-602
-14,-84,-21,1602
-10,-22,23,198
78,-20,-53,-14
23,20,80,-174
-55,-86,-35,1180
-95,91,-9,-1232
3,-96,40,552
7,-7,-4,26
48,-98,15,1078
-89,81,-54,-2482
59,-50,-70,118
93,-38,18,546
-12,31,-10,-440
34,-36,98,2324
18,-73,50,2452
91,99,-6,-1558
-25,-91,10,358
-77,-47,-13,280
31,56,-8,-874
-63,-13,-30,158
79,39,-77,-648
-21,75,-19,-244
-22,-55,-80,396
60,-62,84,0
76,-21,23,194
-59,84,-88,-766
-80,53,36,-224
3,-92,-40,528
89,52,-12,-2118
-36,16,66,476
7,-63,-86,414
63,-92,26,432
-15,-47,-67,148
87,44,-67,-688
61,5,-73,48
-57,11,-5,-76
-62,-85,7,386
-25,-64,16,238
58,-57,33,238
16,24,76,244
86,-19,22,-8
-30,-26,20,264
3,-63,-72,354
-4,36,-55,-418
60,27,-14,-160
-54,-78,25,3446
-31,31,100,282
40,28,-8,-156
-84,98,-9,-662
77,50,69,-424
-92,94,-22,-1028
-7,43,80,-342
71,-29,24,218
-33,97,76,-766
83,-25,-13,0
66,-55,48,372
-98,21,40,-2
98,-36,-17,52
71,-30,18,194
-27,28,65,-72
72,-9,-11,-230
-30,64,-12,-520
88,4,-11,-422
-56,76,15,-914
-7,-15,32,-14
-64,35,-58,-296
-50,-8,22,164
-28,77,-80,-1376
84,71,86,-596
6,-57,57,102
99,48,32,-542
70,7,-23,-498
59,41,98,-274
63,-31,84,66
-93,-50,-60,590
50,12,59,-114
66,-54,-44,180
94,75,-54,-4724
61,83,-90,-230
20,-43,-58,248
-87,-66,-72,526
-19,-54,23,2296
-51,40,-91,-912
6,19,-11,-66
-3,69,56,-430
-82,51,-48,-28
-40,83,-5,-302
-100,-11,3,118
-29,4,-71,-740
76,40,-5,-1062
-91,40,57,96
-23,-76,-25,470
39,31,-14,-378
48,-25,-10,52
-67,7,4,54
44,64,37,-558
-6,19,-64,44
-60,52,-3,-162
44,22,-50,-396
-66,55,-77,-490
-11,69,-100,-758
-3,-73,-17,422
44,57,38,-500
-64,-17,61,358
44,-4,9,-70
10,-43,26,340
-26,22,81,-238
-3,-2,-60,-4
52,52,-34,-1040
89,-23,27,384
-36,6,-95,-974
-19,-22,25,1324
-27,-64,22,578
-94,-69,68,4596
59,13,-38,-322
-25,-90,100,174
-66,0,-97,-90
22,36,43,-266
-30,-38,21,362
100,-91,-38,320
25,-32,-61,216
84,-27,-25,-34
26,55,21,-294
32,65,54,-608
90,-70,-96,-72
94,-68,-24,632
-28,36,81,82
-14,57,-25,-1854
87,35,-94,-670
18,-11,-8,-80
74,90,51,-2314
-67,-91,-100,630
-36,41,16,-424
75,-73,75,1544
39,-52,-97,120
9,99,9,-1588
52,47,76,-320
81,61,66,-478
23,-2,21,-42
0,74,84,-484
-50,-25,19,294
94,-84,-23,1170
-100,77,99,-426
10,49,-27,-502
65,99,20,-510
-21,-64,-58,390
22,77,40,-424
27,-16,37,120
-61,8,49,-72
38,-88,-83,298
87,-42,-32,70
-79,-84,69,932
-94,-15,84,3284
9,-83,3,1264
79,24,-88,-550
-69,-69,-44,858
