input0:int,input1:int,input2:int,output:int
-100,-100,-100,-270
-10,-10,-10,-27
-5,-5,-5,-5
-4,-4,-4,50
-3,-3,-3,26
-1,-1,-1,1
0,0,0,0
1,1,1,0
2,2,2,-4
3,3,3,-25
4,4,4,-50
5,5,5,6
6,6,6,-3
10,10,10,27
100,100,100,270
40,-15,92,-34
-67,91,-13,-409
-61,-27,10,42
-36,45,-85,-817
91,34,93,-173
-30,67,-7,-211
83,49,92,-144
-76,-7,-98,154
31,-98,-76,126
84,26,-5,-141
87,-94,-13,292
72,27,-87,8
-95,-40,-17,73
-80,-60,-13,123
-58,44,-82,-311
22,-8,-79,704
-25,-59,47,24
-81,72,-67,-38
39,87,12,-1050
26,-18,1,57
58,-1,-91,-674
-33,98,52,-614
97,16,28,-249
42,93,-89,271
-71,71,-14,-122
40,21,-75,-99
-82,-4,3,0
-50,13,-1,-11
74,-99,-34,2021
49,84,-44,38
-37,48,-56,-111
-96,70,-80,-190
-76,-71,79,-300
-56,-94,-68,196
79,24,57,-124
57,-98,71,866
19,28,92,-270
-58,92,36,-466
-26,39,13,-110
89,1,-87,40
78,-1,33,-272
88,58,-30,-221
38,29,-57,-87
-13,55,23,-635
-26,27,74,-387
-75,-12,98,-187
39,-79,53,78
44,-11,87,133
17,75,-3,-94
-100,15,56,70
66,17,-74,299
-41,78,-5,-261
72,37,-59,138
16,-73,-38,352
83,-22,-70,-201
-37,8,-85,-669
5,-11,18,-26
43,79,-94,483
-55,55,76,29
-74,26,-18,-87
98,31,-75,-1410
82,33,-37,-157
100,87,73,-164
39,13,95,1369
-38,-63,-47,276
2,-47,-34,170
86,-42,89,-588
39,98,28,-518
1,15,94,-859
-52,-63,12,162
-75,13,56,75
36,-47,51,269
78,-100,52,774
-9,88,7,-1059
46,-33,-44,385
88,-49,-6,261
-7,-89,39,39
-57,-87,16,129
-18,-27,-70,-869
-80,-1,44,-231
97,87,21,-362
58,-87,-86,45
-4,9,-95,-1544
-11,-33,-98,311
-66,90,-65,-187
78,19,25,174
-69,-22,91,1763
-16,17,2,-35
-72,-93,49,-38
43,-78,-62,655
-11,31,-27,-79
43,94,53,-1202
-90,-46,-15,33
14,81,61,-270
-11,-1,93,-138
8,-82,-85,-485
-70,33,99,-234
45,-8,-83,114
-89,81,-49,161
8,-41,-78,515
-4,-24,68,-738
-81,92,-10,-443
45,-19,87,2
-62,-33,25,98
-30,-59,-51,45
14,12,-6,-141
-82,80,21,-89
97,-55,74,-161
26,-63,-7,130
7,28,-61,-444
65,9,-44,274
90,-89,-47,308
-39,-32,28,2
-41,-100,39,69
-53,-90,-25,173
19,-53,78,-139
-28,100,41,-138
-19,34,26,-109
92,-89,5,394
75,-21,-16,16
-35,27,52,-48
-6,-32,44,-246
-54,-55,-26,245
-65,-1,-46,-121
97,-46,58,-45
-72,-79,-8,352
-52,-55,-57,322
-64,-29,26,867
15,-65,-13,256
-49,50,-98,241
21,18,76,20
-25,6,95,100
56,-73,23,89
5,-66,17,203
87,65,-13,-132
-27,-86,-66,113
25,47,-40,-82
96,57,-21,-301
44,60,80,1560
94,-82,-84,1042
-53,28,-64,832
-7,82,-21,-127
46,-95,-49,797
-81,-50,-37,119
95,-67,-9,141
-36,55,50,155
-67,-62,100,299
-99,-17,18,-13
-35,-59,61,162
-86,18,68,-206
36,37,24,-182
2,-16,-2,43
-6,-34,-77,175
-93,54,25,-20
5,75,-30,-417
-35,81,30,-83
-6,29,42,-79
0,-78,-44,420
53,42,-26,-531
-12,46,12,-68
35,53,-78,59
-19,98,-52,-1150
54,41,-52,-466
89,29,1,-224
-81,-95,65,868
26,50,-67,-66
-49,86,-67,-654
-64,40,12,-326
79,75,-59,546
74,61,-30,-1437
-45,-73,-23,165
-37,57,35,0
41,-37,-36,19
36,44,70,157
-3,19,97,-162
11,-28,-46,-13
-75,91,94,-494
-80,-16,-96,-16
-18,-1,31,241
-65,-89,-54,184
-17,24,-60,-546
92,33,79,-1058
9,72,-55,-700
-96,42,59,-189
77,-63,-11,144
