input0:int,input1:int,input2:int,output:int
-100,-100,-100,5000
-10,-10,-10,50
-1,-1,-1,0
0,0,0,0
1,1,1,1
2,2,2,4
3,3,3,5
5,5,5,11
10,10,10,60
100,100,100,5100
-16,-86,-95,1376
-28,-80,-100,2240
28,60,-55,1036
-37,-32,86,1184
67,10,-7,41
43,-32,38,-1376
-81,47,4,-3807
25,-1,-12,-25
93,1,-38,93
0,-58,-69,0
31,27,79,837
95,-48,34,-4560
-25,-53,25,208
80,51,-17,128
82,40,-57,1129
-100,52,-2,-5200
26,-65,93,-1690
-45,6,-5,-270
-47,26,86,-1222
92,-35,56,-3220
-91,-40,60,1784
29,18,66,522
29,-25,15,-725
86,-79,-40,-6794
-23,-48,45,682
-58,-55,-84,3190
85,-39,-5,-3315
11,82,39,523
-96,59,-3,-5664
-11,25,-57,-275
37,44,86,1628
-36,-79,-75,1888
66,16,-47,774
-43,76,85,-3268
-10,-63,97,630
-65,-54,38,708
63,-79,21,-4977
-30,-29,-25,206
-100,38,-24,-3800
76,43,-85,2462
-24,-92,27,244
87,-80,-4,-6960
75,-70,-24,-5250
5,-4,-53,-20
-31,-18,-49,558
-65,-28,15,58
9,-73,60,-657
92,-56,-72,-5152
-68,18,74,-1224
-21,-23,40,483
15,-92,46,-1380
-57,-2,-80,114
66,-87,-17,-5742
-38,26,-38,-988
-9,-76,8,31
-8,-64,-8,32
-9,-22,-72,198
19,59,7,25
6,64,7,20
2,-77,-60,-154
30,35,56,1050
61,48,94,2928
79,-10,-58,-790
70,-93,-81,-6510
83,55,91,2818
32,-36,-82,-1152
85,64,72,2670
-63,73,81,-4599
-71,14,-75,-994
25,37,35,428
47,-95,-95,-4465
30,60,8,51
-84,9,3,-756
44,67,66,2233
-57,-1,-73,57
47,26,-40,843
87,69,6,64
79,-99,89,-7821
-40,-94,84,3550
-55,-56,-4,-18
85,12,1,29
-29,32,-64,-928
60,-80,91,-4800
77,30,4,48
-5,80,-97,-400
8,47,53,376
-56,31,-99,-1736
71,-19,-18,-1349
-66,84,31,-5544
77,78,-52,1416
-73,93,27,-6789
-79,-3,-41,237
-79,88,-24,-6952
-63,-96,-44,958
-59,91,-20,-5369
-25,-13,0,-13
-32,29,90,-928
-98,-22,0,-49
24,8,99,192
-62,-2,-79,124
14,43,42,602
85,-85,87,-7225
53,-17,-93,-901
-55,-57,17,83
18,84,-46,1090
77,100,58,1749
-14,82,-63,-1148
41,-84,-61,-3444
36,54,51,896
-45,6,61,-270
-16,98,1,-1568
90,75,-75,1930
61,-4,86,-244
-13,-55,10,48
-34,43,-73,-1462
14,-36,-22,-504
34,68,66,2228
-6,70,-69,-420
-5,71,-90,-355
77,45,47,777
-82,-80,-49,789
84,70,45,718
24,21,-13,68
-11,-73,28,400
-28,93,-26,-2604
96,75,-9,62
-7,67,-44,-469
-86,12,72,-1032
-87,84,27,-7308
-53,91,-58,-4823
-69,5,-37,-345
19,-70,21,-1330
70,24,-66,1680
83,61,29,317
31,59,-27,262
70,94,-90,4130
-40,-95,-12,58
-36,-100,51,872
-49,91,3,-4459
-5,95,98,-475
-22,69,-72,-1518
-84,-24,-79,2016
-1,21,-35,-21
-42,25,-100,-1050
89,57,-32,572
-67,-73,-37,446
28,54,82,1512
-71,47,-59,-3337
-99,23,68,-2277
0,57,55,0
-13,-30,-13,56
-6,-71,-11,42
99,-60,-94,-5940
49,97,90,4119
32,-40,-95,-1280
-92,81,-64,-7452
-19,-98,-97,1862
-95,43,64,-4085
4,-51,15,-204
-55,-66,-63,1325
67,-69,27,-4623
27,-93,79,-2511
-52,70,-97,-3640
35,85,-82,2975
-8,95,88,-760
87,15,-30,508
71,-35,72,-2485
52,22,-17,119
-48,19,-44,-912
-7,-52,-10,51
75,-79,85,-5925
-57,78,-14,-4446
-11,-9,46,99
92,-69,36,-6348
93,50,-42,949
-93,-50,94,4418
100,-34,33,-3400
10,57,55,570
19,-7,94,-133
-12,100,11,-1200
66,-10,-80,-660
34,38,-60,1292
-44,4,-24,-176
74,89,32,565
62,23,-36,697
41,38,-49,830
-68,100,-12,-6800
26,95,-88,2470
-99,-2,94,198
-44,44,64,-1936
