input0:int,input1:int,input2:int,output:int
-100,-100,-100,-2502
-10,-10,-10,-252
-5,-5,-5,-102
-4,-4,-4,-102
-3,-3,-3,-62
-1,-1,-1,-22
0,0,0,-2
1,1,1,18
2,2,2,48
3,3,3,58
4,4,4,98
5,5,5,398
6,6,6,148
7,7,7,138
10,10,10,248
100,100,100,2498
-6,-20,72,-354
1,-48,-76,-1034
-13,94,-89,1267
78,-95,-58,-1649
4,64,-20,1274
-78,-35,-14,-1029
-9,-30,-67,-555
29,-98,47,-1309
22,39,23,694
13,-19,-38,-369
76,-12,35,157
31,-18,-93,-241
-58,-85,-69,-1578
12,29,-46,579
-5,-83,-66,-1749
50,90,-71,1477
41,98,-23,1609
44,67,-34,1479
-36,75,-51,928
99,10,4,598
97,52,-88,1338
-30,29,-9,304
66,51,65,1092
8,4,-77,13
89,52,50,1444
-49,79,19,1006
98,-20,-44,-54
-90,45,-22,515
-67,-42,48,-1062
-56,-25,9,-592
-96,25,-66,47
-57,-84,-100,-2010
17,-29,68,-447
-99,95,-58,1443
81,75,-87,1360
-12,-56,88,-1082
63,-82,30,-1360
-32,79,-45,1010
-66,-55,-100,-1467
-70,-48,-13,-1015
-26,97,72,1905
-77,42,84,614
-20,-25,-79,-536
-42,56,49,719
-60,13,-22,-5
-59,-16,66,-492
-65,91,-90,1467
-73,28,22,288
-14,6,-67,-35
-90,-51,-95,-1222
8,8,73,223
-78,-26,92,-742
43,25,95,640
38,-99,63,-1272
-96,65,-79,510
74,-63,55,-596
-40,10,38,76
-32,-63,-26,-1417
-88,-5,-52,-507
-52,40,95,485
-35,-11,3,-304
-4,13,-67,110
-69,30,-25,147
-13,40,16,762
-81,-65,24,-1603
6,-73,-56,-1495
25,79,-39,1244
-57,-79,-15,-1430
61,26,-28,734
73,75,5,1420
-66,-49,33,-968
48,47,13,908
28,58,-60,1210
36,43,-80,921
-63,68,-26,1080
-35,46,-41,507
96,-46,-66,-604
-61,-43,-36,-1143
9,-23,65,-246
-64,62,0,982
14,32,-28,666
-74,-3,-37,-380
97,-97,4,-1551
-41,-43,-12,-1039
-2,-86,-98,-1828
-33,-58,-3,-1007
-31,-56,26,-1220
45,-51,-79,-666
89,-11,-63,126
-46,16,24,158
31,-18,-13,-161
-4,72,50,1472
69,32,-95,659
98,-48,-38,-608
66,43,-23,884
8,26,83,503
21,42,-13,699
47,30,75,711
-30,90,91,1319
12,-42,-14,-808
83,25,-28,801
67,-73,-45,-874
-39,-4,68,-170
-82,-43,51,-924
-67,78,31,931
-17,-78,49,-1191
52,-59,7,-672
77,8,-60,406
-84,-83,-8,-2007
-36,-60,-58,-1404
-47,94,24,1714
-24,-35,-26,-825
-7,84,88,1738
1,73,47,1144
76,-8,-38,104
29,39,-66,827
-7,-40,76,-754
-88,92,48,1534
68,-46,-39,-459
-76,41,54,567
96,-73,-67,-780
-23,23,-92,273
-63,-96,-12,-2186
-25,-92,-56,-1998
77,-12,45,171
-32,-68,-30,-1520
83,12,82,652
52,-75,-92,-1387
43,-1,56,205
10,-30,-88,-650
15,30,-73,435
39,87,-8,1885
28,26,-37,463
-54,71,-59,788
66,21,-35,542
-54,-91,28,-2011
-30,14,58,216
-54,16,-71,-49
100,34,53,961
73,-33,61,-144
97,-11,3,224
-94,-72,44,-1774
-48,25,75,256
66,11,17,444
-9,-70,28,-1410
-55,20,-71,7
41,-5,32,93
-25,-37,-15,-672
-93,-77,44,-1871
-34,-74,-4,-1622
67,-41,38,-517
-1,80,-34,1560
87,74,-90,1736
19,-46,32,-814
90,-68,74,-928
6,70,92,1514
-19,84,74,1676
-75,-67,8,-1635
72,63,-69,1162
-50,-76,59,-1283
1,26,-82,440
57,-10,-78,-52
99,-23,-10,-77
-78,97,-78,1547
-29,65,41,898
-59,-12,-9,-427
-20,-67,-13,-1100
-32,-17,-50,-521
18,0,-46,24
29,-89,-9,-1230
-23,-70,63,-1081
-70,-60,46,-1436
29,46,21,825
19,37,-73,556
28,-69,-60,-1331
-86,-88,90,-2016
-77,-25,-42,-853
48,40,55,845
-90,70,-79,609
-52,-26,-61,-661
68,-55,84,-747
-65,40,-40,498
7,-17,9,-220
75,-2,-75,193
