input0:int,input1:int,input2:int,output:int
-100,-100,-100,-177
-10,-10,-10,5
-1,-1,-1,15
0,0,0,17
1,1,1,17
2,2,2,17
5,5,5,18
7,7,7,18
8,8,8,18
9,9,9,19
10,10,10,19
11,11,11,19
100,100,100,21
-81,-46,-63,-105
-23,78,-40,-83
27,-94,84,-50
-91,-75,-17,-143
30,-16,-86,31
33,76,20,-22
-6,53,-100,-36
38,93,100,-34
-68,34,-98,-78
24,87,97,-43
-49,-27,-49,-50
14,-80,-15,-42
-70,-91,34,-136
-72,86,-60,-135
12,-95,10,-64
-88,-91,42,-162
-10,-42,-59,-29
19,-21,86,15
26,-58,36,-7
89,-24,45,82
47,47,-79,19
97,-92,50,24
-26,-42,-27,-47
-16,-80,-38,-78
69,2,-26,88
9,78,-83,-51
22,-98,-54,-51
14,-59,79,-20
-77,-85,-67,-141
69,-34,-88,61
41,-23,-63,40
-2,-86,-51,-63
50,-91,25,-18
-99,29,34,-103
76,-17,-8,85
25,22,-37,22
58,-18,34,65
46,30,-41,34
-43,-2,-4,-28
48,85,-6,-11
-51,30,-68,-60
54,75,-11,4
65,-6,-65,81
59,-37,-100,45
27,-93,-73,-46
-100,51,-58,-127
99,-20,99,99
6,-43,16,-17
2,-79,-19,-54
11,-58,-7,-21
-23,-79,82,-76
28,99,-47,-45
-67,99,77,-141
49,-33,23,38
74,-7,-4,84
-77,96,-92,-148
55,-54,-100,24
-88,53,84,-124
-50,72,35,-97
96,-18,-4,95
-44,-71,2,-98
-19,-52,67,-48
-61,-42,58,-83
13,-86,15,-53
74,-94,-99,4
18,-36,-96,6
40,-83,-67,-22
-11,-79,86,-73
-70,28,-44,-81
73,-14,92,78
63,-81,-22,4
50,-54,-41,14
28,-84,-75,-37
-53,-96,-96,-125
-37,-19,-7,-30
83,65,29,41
-11,-53,57,-44
-98,58,76,-131
-7,-98,-95,-80
43,30,-94,38
92,-55,-73,57
-78,74,85,-135
63,-43,-4,37
45,21,-87,41
62,64,33,22
-68,14,-30,-62
80,-48,-50,57
-23,-78,68,-78
0,93,-44,-76
-91,-18,14,-89
41,-32,66,31
-61,46,-46,-81
21,-23,36,23
-69,-94,35,-138
-6,94,99,-80
13,-65,-35,-33
-24,-25,78,-24
76,-40,-100,59
78,14,-61,87
-62,-88,-41,-132
7,-38,-79,-12
56,-99,55,-23
75,45,96,50
-81,-28,-67,-88
-23,-4,34,-2
25,-7,20,39
45,-96,44,-34
26,0,-35,45
82,84,-63,20
-12,-11,34,2
-74,-11,-3,-68
54,-50,75,29
88,-76,61,33
53,-93,70,-17
-7,47,48,-36
-97,39,47,-118
-30,-29,-82,-41
-42,56,14,-78
-28,7,71,-11
-96,60,-69,-135
74,1,-6,99
78,-85,-80,11
41,57,-96,8
-11,6,-50,8
72,76,-56,20
-69,60,89,-111
-81,36,81,-91
-59,3,96,-42
-80,84,-59,-141
42,59,80,9
-58,-55,-67,-92
4,14,40,16
39,-2,-54,62
-53,-27,62,-59
-62,12,52,-55
42,-94,-70,-31
-55,87,-32,-122
-15,-70,34,-60
91,-64,-12,52
24,-65,42,-24
9,71,-77,-43
-9,5,83,12
-74,-44,-64,-96
18,-44,71,-2
94,18,-69,97
43,-50,-28,14
18,100,-47,-56
-13,-39,-36,-33
88,-90,-41,16
4,43,-18,-16
-79,32,18,-90
78,-80,14,18
94,-52,-77,61
-93,-30,-9,-98
4,-75,96,-51
9,30,-45,-4
-84,20,70,-81
-89,79,-3,-151
15,7,-90,34
-49,83,96,-112
-21,-59,95,-61
59,-17,16,62
-66,24,15,-70
79,-32,98,67
-8,-79,-24,-65
-90,75,-34,-146
69,-85,27,7
-62,-77,2,-122
-47,-45,60,-71
-89,-23,-88,-86
14,-12,-81,20
-99,-84,71,-159
-85,-52,-52,-112
22,-81,-83,-41
-31,-78,54,-90
-58,-2,-51,-35
-41,29,62,-49
15,-6,-47,35
68,-97,16,-9
-22,81,-96,-79
10,-24,-17,9
-48,-51,94,-80
12,11,7,19
73,13,-49,86
37,78,87,-24
87,-22,68,88
61,57,70,27
