input0:int,input1:int,input2:int,output:int
-100,-100,-100,2566
-10,-10,-10,255
-6,-6,-6,297
-5,-5,-5,127
-4,-4,-4,198
-1,-1,-1,36
0,0,0,0
1,1,1,-16
2,2,2,-79
3,3,3,-244
4,4,4,-487
5,5,5,-128
6,6,6,-298
10,10,10,-256
100,100,100,-2566
-47,-98,33,4486
88,-91,-60,-4177
-39,-96,-86,1997
74,-63,77,-7230
-6,-39,-71,814
-14,19,81,1579
-9,-29,0,1083
-33,-12,-42,2441
-48,-10,-20,1194
-43,-22,86,2999
30,7,-41,-2118
47,16,7,-2281
25,-80,18,-632
44,-8,12,-4255
45,-20,77,-1196
65,15,3,-1587
98,-84,25,-11827
-96,-50,-65,2421
36,-56,57,-1815
100,76,84,-4945
-96,-27,35,6900
26,-62,-75,-1784
-71,1,-88,1104
-82,19,85,9758
42,-25,2,-1025
28,-41,-55,-1283
39,28,-10,-3746
-80,-40,-21,1974
-21,-58,60,1945
-19,-1,21,677
-14,13,100,1218
-82,93,-31,7940
21,-64,-71,-2435
73,26,-1,-3529
-4,-97,-34,333
89,-77,-27,-6405
-84,-90,15,2026
-85,-35,-60,2147
27,44,23,-3280
27,-89,28,-3286
-85,21,-80,4214
45,18,-41,-4283
99,93,51,-9605
14,77,84,-1122
-35,73,-79,3475
56,-98,-86,-5284
-15,92,66,1000
-3,11,-12,160
-86,58,80,8181
-23,52,14,1646
-21,40,-93,632
10,-2,-97,-432
71,-11,57,-3508
-1,32,-100,203
-64,-36,-37,3142
27,31,-16,-1285
-17,-38,75,1540
50,-20,25,-1250
-19,-100,54,393
-10,79,-43,1258
-13,-85,-56,389
64,29,86,-7814
-73,85,47,1716
2,-15,-68,40
-15,-75,-20,390
-13,17,88,826
57,40,58,-1464
23,46,-69,-1022
0,48,-99,128
-75,100,-61,1905
81,67,18,-5884
-60,67,-50,4405
48,39,40,-5829
58,92,-18,-4174
-6,3,-41,526
42,65,33,-1065
60,-71,35,-2947
85,19,50,-10295
-60,81,75,2803
99,-14,17,-11937
54,45,69,-1405
4,-93,-31,-346
-14,-67,94,890
-31,-9,-53,3799
-85,19,78,10127
49,100,-46,-1134
-75,-83,65,7142
-36,-48,90,3351
73,-82,84,-5391
13,37,-59,-864
-42,-18,-60,4124
57,-86,-6,-2749
7,-43,7,-683
89,-57,-5,-6434
92,45,-63,-2159
28,-56,22,-1382
21,19,19,-2552
52,-57,10,-3775
-83,8,-30,8035
13,89,-37,-1517
70,-94,15,-8444
-15,3,66,1134
-57,-92,71,4031
49,-100,56,-1267
73,17,13,-5299
-93,-14,15,11173
18,52,-33,-1261
-1,16,13,31
3,78,62,-370
28,94,-69,-3280
-58,71,-20,2829
15,22,-16,-1065
81,46,19,-3941
33,-79,-46,-3912
-44,-57,94,3061
41,29,2,-4937
68,-73,78,-6654
2,74,-16,-221
-18,15,-35,483
-55,-31,6,2652
-70,-23,76,6646
76,-44,-31,-9107
-59,47,-34,4313
-26,-62,14,1863
68,30,-39,-1606
-62,23,32,5933
-70,67,-38,5113
-45,1,9,658
-44,57,-27,3218
4,79,65,-566
20,66,60,-1045
73,3,90,-5964
20,98,-43,-1872
-18,-3,-10,1096
-13,-4,-16,648
70,-15,-76,-1607
98,-67,27,-7126
-43,72,88,2997
-42,46,68,1941
-82,-55,77,1897
35,79,-22,-4185
-35,-45,-39,902
27,-36,26,-1339
-53,-40,24,1259
-6,-59,32,681
65,68,-46,-6203
43,36,54,-2149
97,62,82,-7125
-16,59,-72,2019
53,-90,-34,-1247
96,-85,-44,-2282
-91,-10,0,2216
-16,33,-25,1574
51,63,50,-4979
-19,-18,-8,1840
7,67,41,-560
60,-3,92,-3721
-98,21,90,4620
45,62,-42,-3202
6,78,-84,-469
71,-58,11,-6854
-65,-69,-85,7933
59,-78,-89,-5569
61,-1,90,-2277
54,37,11,-3921
-9,-61,-50,499
37,-12,-77,-2578
-65,-87,-11,4716
33,-34,32,-4013
30,-88,12,-2906
28,-93,-63,-2617
-99,49,12,11899
23,-44,76,-2867
-64,74,-57,7776
29,58,-1,-2793
-39,84,-44,4750
83,9,-16,-9969
67,26,-88,-3126
-70,96,39,3334
-54,1,46,766
-28,-20,93,560
95,60,-73,-2219
-31,-61,32,1458
-97,-38,-35,9391
13,-64,92,-1685
